local_law_id,name,address,type_of_law_enforcement
1010526,CITY OF BERNIE POLICE DEPARTMENT,206 WEST CRUMB AVENUE,LOCAL POLICE DEPARTMENT
1023214,BARRACKVILLE POLICE DEPARTMENT,716 PIKE STREET,LOCAL POLICE DEPARTMENT
1010927,MONROE CITY POLICE DEPARTMENT,300 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016109,SOUTH VIENNA POLICE DEPARTMENT,149 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1016379,CEMENT POLICE DEPARTMENT,411 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1022116,WARSAW POLICE DEPARTMENT,78 BELLEVILLE LANE,LOCAL POLICE DEPARTMENT
1022886,TOWN OF MADISON POLICE DEPARTMENT,2120 FISH HATCHERY ROAD,LOCAL POLICE DEPARTMENT
1012492,CITY OF WADESBORO POLICE DEPARTMENT,212 S. RUTHERFORD STREET,LOCAL POLICE DEPARTMENT
1010619,CLEVER POLICE DEPARTMENT,304 SOUTH CLARKE AVENUE,LOCAL POLICE DEPARTMENT
1023400,MARSHALL COUNTY SHERIFFS OFFICE,601 SIXTH STREET,SHERIFF'S OFFICE
1010954,NEW LONDON POLICE DEPARTMENT,419 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016214,WARRENSVILLE HEIGHTS POLICE DEPARTMENT / WARRENSVILLE HEIGHTS CITY JAIL,4301 WARRENSVILLE CENTER ROAD,LOCAL POLICE DEPARTMENT
1016102,SOUTH CHARLESTON POLICE DEPARTMENT,35 SOUTH CHILLICOTHE STREET,LOCAL POLICE DEPARTMENT
1023315,GRANT TOWN POLICE DEPARTMENT,304 MAIN STREET,LOCAL POLICE DEPARTMENT
1012665,LOGAN COUNTY SHERIFFS DEPARTMENT,301 BROADWAY,SHERIFF'S OFFICE
1023249,CAPON BRIDGE POLICE DEPARTMENT,1 WHITACER LANE,LOCAL POLICE DEPARTMENT
1013209,ATLANTIC HIGHLANDS POLICE DEPARTMENT,100 1ST AVENUE,LOCAL POLICE DEPARTMENT
1015348,GUERNSEY COUNTY SHERIFFS DEPARTMENT / GUERNSEY COUNTY JAIL,601 SOUTHGATE PARKWAY,SHERIFF'S OFFICE
1010981,JASCO-METROPOLITAN POLICE DEPARTMENT,653 EAST CENTRAL STREET,LOCAL POLICE DEPARTMENT
1010912,MAYSVILLE POLICE DEPARTMENT,200 NORTH CAMDEN STREET,LOCAL POLICE DEPARTMENT
1023421,PADEN CITY POLICE DEPARTMENT,208 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1015847,MILLERSBURG POLICE DEPARTMENT,6 NORTH WASHINGTON STREET,LOCAL POLICE DEPARTMENT
1015733,LAURELVILLE POLICE DEPARTMENT,18751 MAIN STREET,LOCAL POLICE DEPARTMENT
1016201,WAKEMAN POLICE DEPARTMENT,59 HYDE STREET,LOCAL POLICE DEPARTMENT
1015685,HOLMES COUNTY SHERIFFS OFFICE / HOLMES COUNTY JAIL,8105 TOWNSHIP ROAD 574,SHERIFF'S OFFICE
1013803,WILDWOOD CREST POLICE DEPARTMENT,6101 PACIFIC AVENUE,LOCAL POLICE DEPARTMENT
1022879,MADISON POLICE DEPARTMENT - CENTRAL DISTRICT,211 SOUTH CARROLL STREET,LOCAL POLICE DEPARTMENT
1015894,NEW LONDON POLICE DEPARTMENT,115 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1015867,MOUNT HEALTHY POLICE DEPARTMENT,7700 PERRY STREET,LOCAL POLICE DEPARTMENT
1015531,DEER PARK POLICE DEPARTMENT,7777 BLUE ASH ROAD,LOCAL POLICE DEPARTMENT
1015761,LOCKLAND POLICE DEPARTMENT,101 NORTH COOPER AVENUE,LOCAL POLICE DEPARTMENT
1015763,HOCKING COUNTY SHERIFFS OFFICE,25 EAST 2ND STREET,SHERIFF'S OFFICE
1015341,CADIZ POLICE DEPARTMENT,128 COURT STREET,LOCAL POLICE DEPARTMENT
1012211,LILLINGTON POLICE DEPARTMENT,819 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1011915,CANTON POLICE DEPARTMENT,58 PARK STREET,LOCAL POLICE DEPARTMENT
1016230,WELLSTON POLICE DEPARTMENT,203 EAST BROADWAY STREET,LOCAL POLICE DEPARTMENT
1015664,HARRISON POLICE DEPARTMENT,311 HARRISON AVENUE,LOCAL POLICE DEPARTMENT
1011996,DALLAS POLICE DEPARTMENT,131 NORTH GASTON STREET,LOCAL POLICE DEPARTMENT
1012223,CITY OF LOWELL POLICE DEPARTMENT,102 E 1ST ST,LOCAL POLICE DEPARTMENT
1016307,ADAIR POLICE DEPARTMENT,105 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1022079,STANLEY POLICE DEPARTMENT,276 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1012143,CITY OF HOPE MILLS POLICE DEPARTMENT,5776 ROCKFISH ROAD,LOCAL POLICE DEPARTMENT
1022067,SHENANDOAH POLICE DEPARTMENT,411 2ND STREET,LOCAL POLICE DEPARTMENT
1021990,ORANGE COUNTY SHERIFFS OFFICE,11350 PORTER ROAD,SHERIFF'S OFFICE
1021856,GORDONSVILLE POLICE DEPARTMENT,112 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1015382,CHEVIOT POLICE DEPARTMENT,3814 HARRISON AVENUE,LOCAL POLICE DEPARTMENT
1015377,GEAUGA COUNTY SHERIFFS OFFICE / GEAUGA COUNTY JAIL,12450 MERRITT ROAD,SHERIFF'S OFFICE
1015493,COMMERCIAL POINT POLICE DEPARTMENT,12 FRONT STREET,LOCAL POLICE DEPARTMENT
1016186,URBANA POLICE DEPARTMENT,205 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1022255,BREMERTON POLICE DEPARTMENT,1025 BURWELL STREET,LOCAL POLICE DEPARTMENT
1013759,UPPER SADDLE RIVER POLICE DEPARTMENT,368 WEST SADDLE RIVER ROAD,LOCAL POLICE DEPARTMENT
1015509,CROOKSVILLE POLICE DEPARTMENT,98 SOUTH BUCKEYE STREET,LOCAL POLICE DEPARTMENT
1022573,WOODWAY POLICE DEPARTMENT,23920 113TH PLACE WEST,LOCAL POLICE DEPARTMENT
1015702,JACKSONVILLE POLICE DEPARTMENT,38 SOUTH SIXTH STREET,LOCAL POLICE DEPARTMENT
1012413,SEAGROVE POLICE DEPARTMENT - HEADQUARTERS,122 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1015247,ASHVILLE POLICE DEPARTMENT,91 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1013477,LINCOLN PARK POLICE DEPARTMENT,34 CHAPEL HILL ROAD,LOCAL POLICE DEPARTMENT
1015416,NORTH COLLEGE HILL POLICE DEPARTMENT,1646 WEST GALBRAITH ROAD,LOCAL POLICE DEPARTMENT
1013486,LITTLE FERRY POLICE DEPARTMENT,215-217 LIBERTY STREET,LOCAL POLICE DEPARTMENT
1013332,EAST ORANGE POLICE DEPARTMENT,61 NORTH MUNN AVENUE,LOCAL POLICE DEPARTMENT
1015851,MINGO JUNCTION POLICE DEPARTMENT,501 COMMERCIAL STREET,LOCAL POLICE DEPARTMENT
1022054,RURAL RETREAT POLICE DEPARTMENT,307 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1014041,CARLIN POLICE DEPARTMENT,152 SOUTH 8TH STREET,LOCAL POLICE DEPARTMENT
1014058,ELKO POLICE DEPARTMENT,1401 COLLEGE AVENUE,LOCAL POLICE DEPARTMENT
1015764,LOGAN POLICE DEPARTMENT,50 SOUTH MULBERRY STREET,LOCAL POLICE DEPARTMENT
1015445,CLEVES POLICE DEPARTMENT,101 NORTH MIAMI AVENUE,LOCAL POLICE DEPARTMENT
1013249,BRADLEY BEACH POLICE DEPARTMENT,701 MAIN STREET,LOCAL POLICE DEPARTMENT
1015361,CAREY POLICE DEPARTMENT,127 NORTH VANCE STREET,LOCAL POLICE DEPARTMENT
1015900,NEW PHILADELPHIA POLICE DEPARTMENT,122 2ND STREET SOUTHEAST,LOCAL POLICE DEPARTMENT
1022993,OCONTO POLICE DEPARTMENT,1210 MAIN STREET,LOCAL POLICE DEPARTMENT
1016212,TRUMBULL COUNTY SHERIFFS OFFICE / TRUMBULL COUNTY JAIL,150 HIGH STREET NORTHWEST,SHERIFF'S OFFICE
1015919,NEWTON FALLS CITY POLICE DEPARTMENT,19 NORTH CANAL STREET,LOCAL POLICE DEPARTMENT
1015849,WEATHERSFIELD TOWNSHIP POLICE DEPARTMENT,1451 PROSPECT STREET,LOCAL POLICE DEPARTMENT
1015687,HUBBARD CITY POLICE DEPARTMENT,233 SCHOOL STREET,LOCAL POLICE DEPARTMENT
1022798,HALES CORNERS POLICE DEPARTMENT,5635 SOUTH NEW BERLIN ROAD,LOCAL POLICE DEPARTMENT
1012265,MONTREAT COLLEGE - MONTREAT CAMPUS POLICE DEPARTMENT,"310 GAITHER CIRCLE, MCLEOD HALL",LOCAL POLICE DEPARTMENT
1016172,MIAMI COUNTY SHERIFFS OFFICE / MIAMI COUNTY JAIL,201 WEST MAIN STREET,SHERIFF'S OFFICE
1015235,ANTWERP POLICE DEPARTMENT,118 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1010266,MELROSE POLICE DEPARTMENT,225 EAST FIRST STREET NORTH,LOCAL POLICE DEPARTMENT
1010219,KIMBALL POLICE DEPARTMENT,1 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1010120,EAGLE BEND POLICE DEPARTMENT,108 MAIN STREET WEST,LOCAL POLICE DEPARTMENT
1010185,HANCOCK POLICE DEPARTMENT,662 6TH STREET,LOCAL POLICE DEPARTMENT
1010311,NEW RICHLAND POLICE DEPARTMENT,203 NORTH BROADWAY AVENUE,LOCAL POLICE DEPARTMENT
1010164,GILBERT POLICE DEPARTMENT,16 SOUTH BROADWAY AVENUE,LOCAL POLICE DEPARTMENT
1018999,POTTER COUNTY SHERIFFS OFFICE,201 SOUTH EXENE STREET,SHERIFF'S OFFICE
1010023,BAYPORT POLICE DEPARTMENT,294 NORTH 3RD STREET,LOCAL POLICE DEPARTMENT
1010324,OAKDALE POLICE DEPARTMENT,1584 HADLEY AVENUE NORTH,LOCAL POLICE DEPARTMENT
1010435,STILLWATER POLICE DEPARTMENT,216 NORTH 4TH STREET,LOCAL POLICE DEPARTMENT
1010056,BUFFALO POLICE DEPARTMENT,215 1ST AVENUE NORTHEAST,LOCAL POLICE DEPARTMENT
1010448,VERNDALE POLICE DEPARTMENT,101 SOUTHWEST BROWN STREET,LOCAL POLICE DEPARTMENT
1019050,HUTCHINSON COUNTY SHERIFFS OFFICE,"140 EAST EUCLID STREET, ROOM 123",SHERIFF'S OFFICE
1010300,MORRISTOWN POLICE DEPARTMENT,402 DIVISION STREET SOUTH,LOCAL POLICE DEPARTMENT
1019000,GREGORY POLICE DEPARTMENT,120 WEST 6TH STREET,LOCAL POLICE DEPARTMENT
1018996,FREEMAN POLICE DEPARTMENT,185 EAST 3RD STREET,LOCAL POLICE DEPARTMENT
1018948,HANSON COUNTY SHERIFFS OFFICE,720 5TH STREET,SHERIFF'S OFFICE
1018971,BRULE COUNTY SHERIFFS OFFICE / BRULE COUNTY JAIL,201 WEST KELLAM AVENUE,SHERIFF'S OFFICE
1010296,MORGAN POLICE DEPARTMENT,119 VERNON AVENUE,LOCAL POLICE DEPARTMENT
1010415,SHAKOPEE POLICE DEPARTMENT,475 GORMAN STREET,LOCAL POLICE DEPARTMENT
1010011,AVON POLICE DEPARTMENT,140 STRADFORD STREET EAST,LOCAL POLICE DEPARTMENT
1010156,FRANKLIN POLICE DEPARTMENT,320 2ND AVENUE EAST,LOCAL POLICE DEPARTMENT
1010024,BECKER POLICE DEPARTMENT,12060 SHERBURNE AVENUE,LOCAL POLICE DEPARTMENT
1010473,TRAVERSE COUNTY SHERIFFS OFFICE / TRAVERSE COUNTY JAIL,"203 7TH STREET NORTH, TRAVERSE COUNTY LAW ENFORCEMENT CENTER",SHERIFF'S OFFICE
1019092,TYNDALL POLICE DEPARTMENT,110 EAST 17TH AVENUE,LOCAL POLICE DEPARTMENT
1010321,NORTHFIELD POLICE DEPARTMENT,1615 RIVERVIEW DRIVE,LOCAL POLICE DEPARTMENT
1010421,SLAYTON POLICE DEPARTMENT,2223 BROADWAY AVENUE,LOCAL POLICE DEPARTMENT
1010486,WOODBURY POLICE DEPARTMENT,2100 RADIO DRIVE,LOCAL POLICE DEPARTMENT
1010053,TRAVERSE COUNTY SHERIFFS OFFICE - BROWNS VALLEY,19 3RD STREET SOUTH,LOCAL POLICE DEPARTMENT
1010483,WINONA COUNTY SHERIFFS OFFICE / WINONA COUNTY JAIL,201 WEST 3RD STREET,SHERIFF'S OFFICE
1018981,LAWRENCE COUNTY SHERIFFS OFFICE / LAWRENCE COUNTY JAIL,"80 SHERMAN STREET, SUITE 1",SHERIFF'S OFFICE
1019098,WAGNER POLICE DEPARTMENT,60 S MAIN AVE,LOCAL POLICE DEPARTMENT
1019003,HIGHMORE POLICE DEPARTMENT,412 COMMERCIAL AVENUE SOUTHEAST,LOCAL POLICE DEPARTMENT
1010335,OWATONNA POLICE DEPARTMENT,204 EAST PEARL STREET,LOCAL POLICE DEPARTMENT
1019017,JACKSON COUNTY SHERIFFS DEPARTMENT,700 MAIN STREET,SHERIFF'S OFFICE
1019094,CLAY COUNTY SHERIFFS OFFICE / CLAY COUNTY JAIL,15 WASHINGTON STREET,SHERIFF'S OFFICE
1019090,TRIPP POLICE DEPARTMENT,105 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1010319,NORTH MANKATO POLICE DEPARTMENT,1001 BELGRADE AVENUE,LOCAL POLICE DEPARTMENT
1010440,THIEF RIVER FALLS POLICE DEPARTMENT,"102 1ST STREET WEST, LAW ENFORCEMENT CENTER",LOCAL POLICE DEPARTMENT
1010488,WORTHINGTON POLICE DEPARTMENT,"1530 AIRPORT ROAD, NUMBER 300",LOCAL POLICE DEPARTMENT
1022874,LOYAL POLICE DEPARTMENT,301 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1023074,SAUKVILLE POLICE DEPARTMENT,649 EAST GREEN BAY AVENUE,LOCAL POLICE DEPARTMENT
1010055,BROWNTON POLICE DEPARTMENT,528 2ND STREET NORTH,LOCAL POLICE DEPARTMENT
1010103,DAWSON POLICE DEPARTMENT,675 CHESTNUT STREET,LOCAL POLICE DEPARTMENT
1022588,BUFFALO COUNTY SHERIFFS DEPARTMENT / BUFFALO COUNTY JAIL,407 SOUTH SECOND STREET,SHERIFF'S OFFICE
1010232,LESTER PRAIRIE POLICE DEPARTMENT,36 JUNIPER STREET NORTH,LOCAL POLICE DEPARTMENT
1010441,TRACY POLICE DEPARTMENT,336 MORGAN STREET,LOCAL POLICE DEPARTMENT
1010442,TRIMONT POLICE DEPARTMENT,41 2ND AVENUE NORTHWEST,LOCAL POLICE DEPARTMENT
1010198,HOKAH POLICE DEPARTMENT,102 MAIN STREET,LOCAL POLICE DEPARTMENT
1010338,PARK RAPIDS POLICE DEPARTMENT,1425 FAIR AVENUE,LOCAL POLICE DEPARTMENT
1022781,GILLETT POLICE DEPARTMENT,150 NORTH MCKENZIE STREET,LOCAL POLICE DEPARTMENT
1010229,LE CENTER POLICE DEPARTMENT,10 WEST TYRONE STREET,LOCAL POLICE DEPARTMENT
1010282,SAINT ANTHONY POLICE DEPARTMENT,3301 SILVER LAKE ROAD NORTHEAST,LOCAL POLICE DEPARTMENT
1010105,DEEPHAVEN POLICE DEPARTMENT,20225 COTTAGEWOOD ROAD,LOCAL POLICE DEPARTMENT
1010083,CLEVELAND POLICE DEPARTMENT,205 4TH STREET,LOCAL POLICE DEPARTMENT
1010178,ITASCA COUNTY SHERIFFS OFFICE / ITASCA COUNTY JAIL,440 1ST AVENUE NORTHEAST,SHERIFF'S OFFICE
1010373,ROGERS POLICE DEPARTMENT,12913 MAIN STREET,LOCAL POLICE DEPARTMENT
1010009,MAPLEVIEW/LYLE PUBLIC SAFETY DEPARTMENT,101 MAPLE AVENUE,LOCAL POLICE DEPARTMENT
1023112,DOOR COUNTY SHERIFFS DEPARTMENT / DOOR COUNTY JAIL,"1201 SOUTH DULUTH AVENUE, DOOR COUNTY JUSTICE CENTER",SHERIFF'S OFFICE
1010476,KANDIYOHI COUNTY SHERIFF / KANDIYOHI COUNTY JAIL,"2201 23RD STREET NORTHEAST, KANDIYOHI COUNTY LAW ENFORCEMENT CENTER",SHERIFF'S OFFICE
1010044,BRAHAM POLICE DEPARTMENT,201 SOUTH BROADWAY AVENUE,LOCAL POLICE DEPARTMENT
1010125,EDEN VALLEY POLICE DEPARTMENT,171 COSSAIRT AVENUE WEST,LOCAL POLICE DEPARTMENT
1010016,BALATON POLICE DEPARTMENT,341 CENTRAL AVENUE SOUTH,LOCAL POLICE DEPARTMENT
1022670,CASHTON POLICE DEPARTMENT,811 MAIN STREET,LOCAL POLICE DEPARTMENT
1023156,WAUNAKEE POLICE DEPARTMENT,205 NORTH KLEIN DRIVE,LOCAL POLICE DEPARTMENT
1010152,BENTON COUNTY SHERIFFS DEPARTMENT / BENTON COUNTY JAIL,581 STATE HIGHWAY 23 NORTHEAST,SHERIFF'S OFFICE
1022753,FAIRCHILD POLICE DEPARTMENT,331 OAK STREET,LOCAL POLICE DEPARTMENT
1022769,FOX POINT POLICE DEPARTMENT,7300 NORTH SANTA MONICA BOULEVARD,LOCAL POLICE DEPARTMENT
1023029,OZAUKEE COUNTY SHERIFFS OFFICE / OZAUKEE COUNTY JAIL,1201 SOUTH SPRING STREET,SHERIFF'S OFFICE
1022923,MERRILLAN POLICE DEPARTMENT,101 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1010470,WEST CONCORD POLICE DEPARTMENT,180 MAIN STREET EAST,LOCAL POLICE DEPARTMENT
1010469,WELLS POLICE DEPARTMENT,125 SOUTH BROADWAY,LOCAL POLICE DEPARTMENT
1023001,OREGON POLICE DEPARTMENT,383 PARK STREET,LOCAL POLICE DEPARTMENT
1022609,BALSAM LAKE POLICE DEPARTMENT,404 MAIN STREET,LOCAL POLICE DEPARTMENT
1022843,KIEL POLICE DEPARTMENT,621 6TH STREET,LOCAL POLICE DEPARTMENT
1010183,HALLOCK POLICE DEPARTMENT,163 SOUTH 3RD STREET,LOCAL POLICE DEPARTMENT
1010221,LAKE BENTON POLICE DEPARTMENT,110 WEST BENTON STREET,LOCAL POLICE DEPARTMENT
1022865,VILLAGE OF LANNON POLICE DEPARTMENT,20399 WEST MAIN STREET,LOCAL POLICE DEPARTMENT
1022820,IOLA POLICE DEPARTMENT,180 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1022840,KEWASKUM POLICE DEPARTMENT,204 FIRST STREET,LOCAL POLICE DEPARTMENT
1016501,HINTON POLICE DEPARTMENT,115 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1016336,ATOKA POLICE DEPARTMENT,1002 WEST LIBERTY ROAD,LOCAL POLICE DEPARTMENT
1023182,WEYAUWEGA POLICE DEPARTMENT,109 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1019037,MILBANK POLICE DEPARTMENT,"1001 EAST 4TH AVENUE, SUITE 301",LOCAL POLICE DEPARTMENT
1022693,COON VALLEY POLICE DEPARTMENT,205 ANDERSON STREET,LOCAL POLICE DEPARTMENT
1016772,WARNER POLICE DEPARTMENT,1000 UNITED STATES HIGHWAY 64,LOCAL POLICE DEPARTMENT
1016592,MUSKOGEE COUNTY SHERIFFS OFFICE,220 STATE STREET,SHERIFF'S OFFICE
1022660,VILLAGE OF BUTLER POLICE DEPARTMENT,12621 WEST HAMPTON AVENUE,LOCAL POLICE DEPARTMENT
1022721,VILLAGE OF DOUSMAN POLICE DEPARTMENT,118 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016583,MIDWEST CITY POLICE DEPARTMENT,100 NORTH MIDWEST BOULEVARD,LOCAL POLICE DEPARTMENT
1016615,FOREST PARK POLICE DEPARTMENT,4203 NORTH COLTRANE ROAD,LOCAL POLICE DEPARTMENT
1021519,EPHRAIM POLICE DEPARTMENT,5 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1016460,FLETCHER POLICE DEPARTMENT,"414 WEST COLE AVENUE, PO BOX 448",LOCAL POLICE DEPARTMENT
1016422,DEL CITY POLICE DEPARTMENT,2800 EPPERLY DRIVE,LOCAL POLICE DEPARTMENT
1016382,CHATTANOOGA POLICE DEPARTMENT,302 3RD STREET,LOCAL POLICE DEPARTMENT
1016664,QUINTON POLICE DEPARTMENT,1020 MAIN STREET,LOCAL POLICE DEPARTMENT
1016343,BEAVER POLICE DEPARTMENT,24 WEST 2ND STREET,LOCAL POLICE DEPARTMENT
1019051,SULLY COUNTY SHERIFFS OFFICE,700 ASH AVENUE,SHERIFF'S OFFICE
1016653,PORUM POLICE DEPARTMENT,114 NORTH 2ND STREET,LOCAL POLICE DEPARTMENT
1016463,FORT GIBSON POLICE DEPARTMENT,200 WEST POPLAR STREET,LOCAL POLICE DEPARTMENT
1022742,ELKHART LAKE POLICE DEPARTMENT,40 PINE STREET,LOCAL POLICE DEPARTMENT
1022998,ONALASKA POLICE DEPARTMENT,415 MAIN STREET,LOCAL POLICE DEPARTMENT
1019005,FALL RIVER COUNTY SHERIFFS OFFICE / FALL RIVER COUNTY JAIL,906 NORTH RIVER STREET,SHERIFF'S OFFICE
1019047,NEW EFFINGTON POLICE DEPARTMENT,303 MAIN STREET,LOCAL POLICE DEPARTMENT
1016462,FORT COBB POLICE DEPARTMENT,201 EAST MAIN STREET,LOCAL POLICE DEPARTMENT
1022710,DEFOREST POLICE DEPARTMENT,305 EAST HOLUM STREET,LOCAL POLICE DEPARTMENT
1022760,FLORENCE COUNTY SHERIFFS OFFICE / FLORENCE COUNTY JAIL,501 LAKE AVENUE,SHERIFF'S OFFICE
1022697,FOREST COUNTY SHERIFFS OFFICE / FOREST COUNTY LAW ENFORCEMENT CENTER,100 SOUTH PARK AVENUE,SHERIFF'S OFFICE
1022766,FOUNTAIN CITY POLICE DEPARTMENT,42 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1022794,GREEN LAKE POLICE DEPARTMENT,534 MILL STREET,LOCAL POLICE DEPARTMENT
1022719,IOWA COUNTY SHERIFFS OFFICE / IOWA COUNTY JAIL,1205 NORTH BEQUETTE STREET,SHERIFF'S OFFICE
1022819,INDEPENDENCE POLICE DEPARTMENT,"23688 ADAMS STREET, CITY HALL",LOCAL POLICE DEPARTMENT
1023179,WESTBY POLICE DEPARTMENT,200 MELBY STREET,LOCAL POLICE DEPARTMENT
1023078,SHAWANO POLICE DEPARTMENT,125 SOUTH SAWYER STREET,LOCAL POLICE DEPARTMENT
1012864,NORTH PLATTE POLICE DEPARTMENT,701 SOUTH JEFFERS STREET,LOCAL POLICE DEPARTMENT
1012719,BATTLE CREEK POLICE DEPARTMENT,102 SOUTH 2ND STREET,LOCAL POLICE DEPARTMENT
1012839,MADISON COUNTY SHERIFFS OFFICE / MADISON COUNTY JAIL,1313 NORTH MAIN STREET,SHERIFF'S OFFICE
1012858,NEWMAN GROVE POLICE DEPARTMENT,606 HALE AVENUE,LOCAL POLICE DEPARTMENT
1022876,LUXEMBERG POLICE DEPARTMENT,206 MAPLE STREET,LOCAL POLICE DEPARTMENT
1022900,MARINETTE POLICE DEPARTMENT,1905 HALL AVENUE,LOCAL POLICE DEPARTMENT
1022908,MAYVILLE POLICE DEPARTMENT,25 SOUTH SCHOOL STREET,LOCAL POLICE DEPARTMENT
1023008,OSSEO POLICE DEPARTMENT,"13712 8TH STREET, CITY HALL",LOCAL POLICE DEPARTMENT
1022625,BELOIT POLICE DEPARTMENT,100 STATE STREET,LOCAL POLICE DEPARTMENT
1012910,SCOTTSBLUFF POLICE DEPARTMENT,2525 CIRCLE DRIVE,LOCAL POLICE DEPARTMENT
1010035,BIRD ISLAND POLICE DEPARTMENT,735 BIRCH AVENUE,LOCAL POLICE DEPARTMENT
1010141,FAIRFAX POLICE DEPARTMENT,200 SOUTHEAST 2ND AVENUE,LOCAL POLICE DEPARTMENT
1010458,WALNUT GROVE POLICE DEPARTMENT,311 6TH STREET,LOCAL POLICE DEPARTMENT
1022951,MONTICELLO POLICE DEPARTMENT,140 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1010193,HENNING POLICE DEPARTMENT,607 2ND STREET,LOCAL POLICE DEPARTMENT
1010102,DANUBE POLICE DEPARTMENT,202 UNITED STATES HIGHWAY 212,LOCAL POLICE DEPARTMENT
1012950,WILBER POLICE DEPARTMENT,309 SOUTH MAIN STREET,LOCAL POLICE DEPARTMENT
1012926,SUPERIOR POLICE DEPARTMENT,154 WEST 5TH STREET,LOCAL POLICE DEPARTMENT
1022747,PIERCE COUNTY SHERIFFS DEPARTMENT / PIERCE COUNTY JAIL,414 WEST MAIN STREET,SHERIFF'S OFFICE
1023026,PLOVER POLICE DEPARTMENT,2420 POST ROAD,LOCAL POLICE DEPARTMENT
1010331,OSAKIS POLICE DEPARTMENT,14 NOKOMIS STREET EAST,LOCAL POLICE DEPARTMENT
1018961,MARSHALL COUNTY SHERIFFS OFFICE / MARSHALL COUNTY JAIL,911 VANDER HORCK STREET,SHERIFF'S OFFICE
1012912,SEWARD COUNTY SHERIFFS OFFICE / SEWARD COUNTY JAIL,261 SOUTH 8TH STREET,SHERIFF'S OFFICE
1023033,POTOSI POLICE DEPARTMENT,105 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1023055,RHINELANDER POLICE DEPARTMENT,201 NORTH BROWN STREET,LOCAL POLICE DEPARTMENT
1023064,RIVER FALLS POLICE DEPARTMENT,111 NORTH 2ND STREET,LOCAL POLICE DEPARTMENT
1023067,ROSENDALE POLICE DEPARTMENT,211 NORTH GRANT STREET,LOCAL POLICE DEPARTMENT
1018986,ELK POINT POLICE DEPARTMENT,106 WEST PLEASANT STREET,LOCAL POLICE DEPARTMENT
1019014,EDMUNDS COUNTY SHERIFFS OFFICE / EDMUNDS COUNTY JAIL,210 2ND AVENUE,SHERIFF'S OFFICE
1012718,ROCK COUNTY SHERIFFS OFFICE / ROCK COUNTY JAIL,400 STATE STREET,SHERIFF'S OFFICE
1012891,PIERCE COUNTY SHERIFFS OFFICE / PIERCE COUNTY JAIL,"111 WEST COURT STREET, ROOM 7",SHERIFF'S OFFICE
1012949,SALINE COUNTY SHERIFFS OFFICE / SALINE COUNTY JAIL,911 SOUTH MAIN STREET,SHERIFF'S OFFICE
1023075,SEYMOUR POLICE DEPARTMENT,306 NORTH MAIN STREET,LOCAL POLICE DEPARTMENT
1023086,SHULLSBURG POLICE DEPARTMENT,190 NORTH JUDGEMENT STREET,LOCAL POLICE DEPARTMENT
1019080,SISSETON POLICE DEPARTMENT,513 VETERANS AVENUE,LOCAL POLICE DEPARTMENT
1012712,AUBURN POLICE DEPARTMENT,1805 N STREET,LOCAL POLICE DEPARTMENT
1012849,MITCHELL POLICE DEPARTMENT,1280 CENTER AVENUE,LOCAL POLICE DEPARTMENT
1012882,ORD POLICE DEPARTMENT,240 SOUTH 16TH STREET,LOCAL POLICE DEPARTMENT
1012744,MERRICK COUNTY SHERIFFS OFFICE / MERRICK COUNTY JAIL,1821 16TH AVENUE,SHERIFF'S OFFICE
1012854,ANTELOPE COUNTY SHERIFFS OFFICE / ANTELOPE COUNTY JAIL,205 EAST 6TH STREET,SHERIFF'S OFFICE
1012766,DAVID CITY POLICE DEPARTMENT,475 NORTH 3RD STREET,LOCAL POLICE DEPARTMENT
1012801,HASTINGS POLICE DEPARTMENT,317 SOUTH BURLINGTON AVENUE,LOCAL POLICE DEPARTMENT
1012930,TECUMSEH POLICE DEPARTMENT,148 SOUTH 4TH STREET,LOCAL POLICE DEPARTMENT
